what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1376998227665
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1376998227697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376998237573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376998295744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376998297118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376998411129
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1376998411154
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376998419844
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376998738330
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376998741689
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376998744052
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1376998744977
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1376998745302
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1376998745385
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1376998745455
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1376998745480
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1376998745512
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1376998745558
