what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1378668467303
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1378668467303
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1378668467315
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1378668467316
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1378668467316
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1378668467316
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1378668467317
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1378668467317
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1378668467317
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1378668467317
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1378668467318
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1378668467318
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1378668467319
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1378668467319
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1378668467319
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1378668467320
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1378668467320
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1378668467320
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1378668467321
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1378668467321
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1378668467321
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1378668467322
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1378668467322
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1378668467323
os,sysinfo,,,"linux",1378668467325
arch,sysinfo,,,"x86",1378668467325
ws,sysinfo,,,"gtk",1378668467325
locale,sysinfo,,,"en_US",1378668467325
processors,sysinfo,,,"4",1378668467325
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1378668467325
java.runtime.version,sysinfo,,,"1.7.0_09-b30",1378668467325
java.specification.name,sysinfo,,,"Java Platform API Specification",1378668467325
java.specification.vendor,sysinfo,,,"Oracle Corporation",1378668467325
java.specification.version,sysinfo,,,"1.7",1378668467325
java.vendor,sysinfo,,,"Oracle Corporation",1378668467325
java.version,sysinfo,,,"1.7.0_09",1378668467325
java.vm.info,sysinfo,,,"mixed mode, sharing",1378668467325
java.vm.name,sysinfo,,,"OpenJDK Client VM",1378668467325
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1378668467325
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1378668467325
java.vm.specification.version,sysinfo,,,"1.7",1378668467325
java.vm.vendor,sysinfo,,,"Oracle Corporation",1378668467325
java.vm.version,sysinfo,,,"23.2-b09",1378668467325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378668649834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378668677742
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378668890327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378669293397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378669406973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378669423675
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378669429563
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378669429718
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1378669431900
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378669435045
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378669435186
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378669446690
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378669446822
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1378669449560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378669582859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378669596942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378669643950
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378669940425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378669949164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378669956667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670008768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670018481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670021842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670026370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670032841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670035520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670109129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670135610
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670357386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1378670377709
