what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917449928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917456241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917611007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917621289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917649354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917654216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917723151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917770913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917813847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917817340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917928132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917938103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401917998184
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918012429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918051102
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918067009
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918088199
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918131043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918134042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918256400
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918275983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918283570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918436711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918441242
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918473416
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918476877
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918545999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918553557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918716053
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918727021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918814621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401918820093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919114280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919119386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919209431
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919211970
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919362839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919366832
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401919369906
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401919370086
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401919370190
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1401919370211
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401919370823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919395791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919425948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919659549
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919666003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919674752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919704355
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919914596
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401919961306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401920128208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401920131585
