time,x,y,z
1597971100.0,367,19,81
1597971101.0,395,15,48
1597971102.0,371,11,95
1597971103.0,393,6,136
1597971104.0,385,1,182
1597971105.0,384,11,102
1597971106.0,371,12,165
1597971107.0,392,8,96
1597971108.0,375,8,86
1597971109.0,367,4,32
1597971110.0,390,18,99
1597971111.0,381,1,55
1597971112.0,380,17,24
1597971113.0,369,15,138
1597971114.0,367,7,169
1597971115.0,377,16,170
1597971116.0,380,12,66
1597971117.0,391,3,88
1597971118.0,373,18,22
1597971119.0,382,16,145
1597971120.0,440,16,66
1597971121.0,468,18,51
1597971122.0,455,16,166
1597971123.0,457,12,111
1597971124.0,456,8,185
1597971125.0,440,13,80
1597971126.0,450,18,14
1597971127.0,452,2,77
1597971128.0,445,16,181
1597971129.0,457,5,95
1597971130.0,442,9,8
1597971131.0,449,14,90
1597971132.0,441,13,154
1597971133.0,445,17,166
1597971134.0,449,4,155
1597971135.0,452,18,148
1597971136.0,442,18,123
1597971137.0,456,0,69
1597971138.0,454,11,15
1597971139.0,463,8,16
1597971140.0,579,3,61
1597971141.0,581,0,120
1597971142.0,580,12,119
1597971143.0,604,6,53
1597971144.0,579,9,39
1597971145.0,589,19,157
1597971146.0,597,9,41
1597971147.0,591,16,57
1597971148.0,601,3,96
1597971149.0,604,7,35
1597971150.0,587,5,42
1597971151.0,608,7,167
1597971152.0,582,2,45
1597971153.0,590,14,98
1597971154.0,592,15,152
1597971155.0,592,1,13
1597971156.0,598,14,108
1597971157.0,579,0,14
1597971158.0,599,19,25
1597971159.0,608,14,113
1597971160.0,454,9,1
1597971161.0,455,6,110
1597971162.0,466,19,167
1597971163.0,483,11,166
1597971164.0,474,15,140
1597971165.0,455,16,90
1597971166.0,461,5,142
1597971167.0,455,19,109
1597971168.0,466,3,61
1597971169.0,464,14,28
1597971170.0,483,19,172
1597971171.0,472,1,89
1597971172.0,469,1,166
1597971173.0,479,13,74
1597971174.0,472,3,88
1597971175.0,474,18,176
1597971176.0,465,1,60
1597971177.0,457,5,1
1597971178.0,478,18,141
1597971179.0,478,17,147
1597971180.0,608,16,90
1597971181.0,611,9,77
1597971182.0,628,5,38
1597971183.0,626,0,181
1597971184.0,627,6,9
1597971185.0,626,14,85
1597971186.0,617,1,90
1597971187.0,609,4,78
1597971188.0,628,6,131
1597971189.0,631,17,97
1597971190.0,610,7,144
1597971191.0,624,12,115
1597971192.0,614,11,52
1597971193.0,625,3,191
1597971194.0,636,8,196
1597971195.0,628,5,92
1597971196.0,610,6,141
1597971197.0,630,14,129
1597971198.0,635,8,161
1597971199.0,626,6,71
