what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1392301033417
executed,command,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.antShortcut.run",1392301033424
started,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1392301033444
started,bundle,org.eclipse.ant.core,3.2.201.v20110203_r362,"org.eclipse.ant.core",1392301033715
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1392301034056
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1392301034252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301042129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301049515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301051882
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301057315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301057579
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301080466
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392301089095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301099673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301119677
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1392301122678
executed,command,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.antShortcut.run",1392301125714
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301150817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301163884
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301167896
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301178895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301179438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301187473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301189624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301276217
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392301276478
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1392301277120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392301278492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301280616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301288748
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392301289244
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301290012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301290662
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1392301294813
executed,command,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.antShortcut.run",1392301297275
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392301311727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301314945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301878661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301898883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301926610
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392301931108
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1392301943965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1392301945234
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1392301947296
executed,command,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui.antShortcut.run",1392301949804
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1392301966185
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392301966448
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392301966582
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1392301984787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392301993124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1392302010711
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1392302013286
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1392302016388
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1392302017060
